                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5695,                0.56015,                0.81493,                0.76657,                0.51019,                0.57277,                0.48813,                0.66632,                0.67393,                0.79056,             7.7778e-05,             7.7778e-05,             7.7778e-05
                     37,                0.57379,                0.54842,                0.82232,                0.76957,                0.50265,                0.57946,                 0.4927,                0.65043,                0.66013,                0.78937,             7.3066e-05,             7.3066e-05,             7.3066e-05
                     38,                0.58491,                0.55107,                 0.8206,                0.76779,                0.50926,                 0.5752,                0.49497,                 0.6408,                0.65952,                 0.7898,             6.8354e-05,             6.8354e-05,             6.8354e-05
                     39,                0.61012,                0.56572,                0.82401,                0.75642,                 0.4982,                0.57418,                  0.488,                0.64489,                0.66105,                 0.7896,             6.3641e-05,             6.3641e-05,             6.3641e-05
                     40,                0.56858,                0.52818,                0.82058,                0.81014,                0.49741,                 0.5751,                0.49287,                 0.6412,                0.64913,                0.78798,             5.8929e-05,             5.8929e-05,             5.8929e-05
                     41,                0.57161,                0.53261,                0.81563,                0.77517,                0.49811,                0.58539,                 0.4959,                 0.6532,                0.66799,                0.78741,             5.4216e-05,             5.4216e-05,             5.4216e-05
                     42,                0.56352,                0.53158,                0.80405,                0.64577,                0.53365,                0.56498,                0.47863,                0.65285,                 0.6827,                0.78777,             4.9504e-05,             4.9504e-05,             4.9504e-05
                     43,                0.55499,                0.51968,                 0.7988,                0.62798,                0.53564,                0.57771,                0.49195,                0.66059,                  0.682,                0.78813,             4.4792e-05,             4.4792e-05,             4.4792e-05
                     44,                0.54803,                0.50513,                0.81189,                0.73741,                0.53219,                0.58593,                0.49894,                 0.6588,                0.67869,                0.78763,             4.0079e-05,             4.0079e-05,             4.0079e-05
                     45,                0.54774,                0.49618,                0.80605,                0.77438,                0.53038,                0.58862,                0.49808,                0.65586,                0.67445,                0.78745,             3.5367e-05,             3.5367e-05,             3.5367e-05
                     46,                 0.5593,                0.51467,                  0.804,                0.71512,                0.52831,                0.58902,                0.49876,                0.65625,                0.65967,                0.78685,             3.0654e-05,             3.0654e-05,             3.0654e-05
                     47,                0.54398,                0.48748,                0.81431,                0.71467,                0.52743,                 0.5903,                0.49963,                0.65202,                0.65304,                0.78641,             2.5942e-05,             2.5942e-05,             2.5942e-05
                     48,                0.55315,                 0.4986,                0.80849,                0.84904,                0.49979,                0.59058,                0.49912,                0.65057,                0.65298,                0.78636,              2.123e-05,              2.123e-05,              2.123e-05
                     49,                0.53965,                0.47577,                0.79764,                 0.7099,                 0.5325,                0.59233,                0.50334,                0.65119,                 0.6538,                0.78668,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.53915,                0.48762,                0.80879,                0.80662,                 0.5063,                0.59199,                0.50251,                0.65224,                0.64887,                0.78654,             1.1805e-05,             1.1805e-05,             1.1805e-05
